Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Tertullian Apologeticum,philosophy,0.00232,0.00455,0.00028,0.00067,0.00044,0.00065,0.0011,0.00054,0.00002,0.00004,0.00001,0.00021,0.00003,0.00163,0.00218,0.00621,0.00173,0.00047,0.00011,0.4404,30.55307,0.0006,0.00058,0.0166,0.00009,98.4736
Tertullian De Spectaculis,philosophy,0.00102,0.00526,0.00024,0.00059,0.00035,0.0004,0.00121,0.00038,0,0,0,0.00008,0,0.0015,0.0014,0.00604,0.00169,0.0003,0.00003,0.41892,32.73973,0.00054,0.00051,0.0174,0,103.73538
Valerius Maximus Facta Et Dicta Memorabilia Part 1,history,0.00045,0.00499,0.00016,0.00151,0.00004,0.00014,0.00059,0.00053,0.0001,0,0.00002,0.00012,0.00002,0.00112,0.00041,0.00345,0.00023,0.001,0.00008,0.63509,39.93023,0.00055,0.00096,0.01122,0,172.56419
Valerius Maximus Facta Et Dicta Memorabilia Part 2,history,0.0006,0.00459,0.00013,0.00128,0.00005,0.00002,0.00034,0.00054,0.00002,0,0,0.00005,0.00005,0.00134,0.0006,0.00289,0.00038,0.00103,0.00007,0.59877,42.31313,0.0008,0.00067,0.01195,0.00002,161.20991
Valerius Maximus Facta Et Dicta Memorabilia Part 3,history,0.00093,0.00513,0.00016,0.00172,0.00009,0.00016,0.00063,0.00056,0.00005,0.00002,0.00002,0.00018,0.00009,0.00125,0.0006,0.00283,0.00035,0.00121,0.00004,0.58912,40.52013,0.00051,0.00083,0.01203,0,162.51143
Valerius Maximus Facta Et Dicta Memorabilia Part 4,history,0.00042,0.00575,0.00021,0.00168,0.00023,0.00017,0.00054,0.00059,0.00003,0,0.00002,0.00003,0.00007,0.0011,0.00065,0.00283,0.00054,0.00093,0.00009,0.57101,40.13793,0.00056,0.00084,0.01267,0.00003,152.61333
Valerius Maximus Facta Et Dicta Memorabilia Part 5,history,0.00078,0.00536,0.0001,0.00145,0.00011,0.00026,0.0008,0.00052,0,0.00002,0.00005,0.00005,0.00011,0.00125,0.00068,0.0028,0.00054,0.0014,0.00005,0.59053,37.20767,0.0006,0.00062,0.01251,0,157.83548
Valerius Maximus Facta Et Dicta Memorabilia Part 6,history,0.00087,0.0058,0.00011,0.00184,0.00011,0.00024,0.00059,0.00065,0.00004,0,0.00006,0.00007,0.00007,0.00133,0.00065,0.00289,0.00041,0.00119,0.00004,0.51233,39.96337,0.00046,0.00087,0.01148,0,139.36693
Valerius Maximus Facta Et Dicta Memorabilia Part 7,history,0.00048,0.0051,0.00036,0.00125,0.00008,0.00023,0.00065,0.00065,0.00008,0,0.00004,0.00019,0.00004,0.00155,0.00067,0.00272,0.00025,0.00142,0.00006,0.58844,39.63985,0.00061,0.00079,0.01204,0,156.82295
Valerius Maximus Facta Et Dicta Memorabilia Part 8,history,0.0003,0.00517,0.00031,0.0012,0.00011,0.00022,0.00059,0.00065,0.00002,0,0.00007,0.0002,0.00011,0.00139,0.00067,0.00304,0.00035,0.00152,0.00007,0.62573,38.96904,0.00054,0.00078,0.01158,0,151.20728
Valerius Maximus Facta Et Dicta Memorabilia Part 9,history,0.0004,0.00453,0.00013,0.00157,0.00009,0.00013,0.00072,0.00061,0.00002,0,0.00007,0.00025,0.00002,0.00119,0.00049,0.00287,0.00072,0.00094,0.00011,0.59701,40.96552,0.00049,0.00079,0.01233,0.00002,148.4933
Vitruvius De Architectura Part 1,technical treatise,0.0004,0.00415,0,0.00019,0.00003,0.00046,0.00019,0.00022,0,0.00003,0.00003,0.00005,0.00005,0.00108,0.00124,0.00564,0.00003,0.00024,0.00003,0.54148,38.74332,0.00084,0.00073,0.01729,0,161.23478
Vitruvius De Architectura Part 10,technical treatise,0.00012,0.00552,0.0001,0.00055,0.00002,0.00045,0.00031,0.00068,0,0.00004,0,0,0,0.00072,0.0007,0.00483,0,0.00022,0,0.4962,34.94425,0.00065,0.00106,0.01283,0,129.43544
Vitruvius De Architectura Part 2,technical treatise,0.00019,0.00656,0.00005,0.00097,0,0.00058,0.00032,0.00027,0,0.0001,0,0,0,0.00061,0.00095,0.00703,0,0.00029,0,0.5,36.1267,0.00044,0.00165,0.01689,0,138.97635
Vitruvius De Architectura Part 3,technical treatise,0.00008,0.00468,0,0.00008,0,0.00016,0.00028,0.0004,0,0,0.00004,0.00004,0,0.00089,0.00145,0.00464,0,0.00032,0.00004,0.47159,33.96183,0.00056,0.00048,0.01464,0,140.85795
Vitruvius De Architectura Part 4,technical treatise,0.0002,0.00421,0.00004,0.00016,0,0.00055,0.00035,0.00066,0,0,0.00004,0.00004,0,0.00039,0.00133,0.00503,0,0.0002,0.00008,0.44615,40.61364,0.00047,0.00039,0.01299,0,131.46154
Vitruvius De Architectura Part 5,technical treatise,0.00013,0.0044,0,0.00046,0,0.00024,0.00019,0.00027,0.00003,0,0.00003,0.00005,0.00005,0.00054,0.00116,0.00569,0,0.00057,0.00005,0.55833,37.18779,0.00078,0.00089,0.01352,0,154.44583
Vitruvius De Architectura Part 6,technical treatise,0.00041,0.00497,0,0.00029,0,0.00057,0.00016,0.00041,0,0.00003,0,0.00003,0.00003,0.00067,0.00115,0.00519,0.00003,0.00061,0.00003,0.43578,39.90541,0.0007,0.00105,0.01506,0,143.39726
Vitruvius De Architectura Part 7,technical treatise,0.00035,0.00482,0.00006,0.0011,0,0.00061,0.00014,0.00026,0,0.00003,0.00003,0.00006,0,0.00098,0.00142,0.00572,0.00009,0.00017,0,0.46667,36.36527,0.00055,0.0017,0.01401,0,142.45679
Vitruvius De Architectura Part 8,technical treatise,0.00015,0.00587,0,0.00079,0,0.00067,0.00028,0.00037,0,0.00009,0,0,0.00006,0.00052,0.00226,0.00669,0,0.00073,0,0.55844,34.56744,0.00061,0.00122,0.01775,0,141.671
Vitruvius De Architectura Part 9,technical treatise,0.00019,0.00615,0.00006,0.00072,0,0.00083,0.00019,0.00052,0,0.00003,0.00006,0.00003,0,0.00047,0.0005,0.00684,0.00003,0.00028,0.00003,0.47426,34.94054,0.00063,0.00143,0.01408,0,132.90476
